quarter,house_type,avg_sqm_price_real,pct_change,volatility_4q
2005Q4,Apartment,34945.5,4.75,4.341
2006Q1,Apartment,35604.6,1.89,2.19
2006Q2,Apartment,36397.2,2.23,1.447
2006Q3,Apartment,36850.2,1.24,1.538
2006Q4,Apartment,36270.8,-1.57,1.728
2007Q1,Apartment,37520.3,3.44,2.135
2007Q2,Apartment,36909.7,-1.63,2.446
2007Q3,Apartment,34090.4,-7.64,4.533
2007Q4,Apartment,33959.3,-0.38,4.596
2008Q1,Apartment,34497.9,1.59,3.977
2008Q2,Apartment,35433.0,2.71,4.652
2008Q3,Apartment,29925.2,-15.54,8.52
2008Q4,Apartment,31985.4,6.88,9.899
2009Q1,Apartment,26987.0,-15.63,11.889
2009Q2,Apartment,30260.7,12.13,14.643
2009Q3,Apartment,32349.8,6.9,12.382
2009Q4,Apartment,28259.0,-12.65,13.877
2010Q1,Apartment,29167.4,3.21,10.678
2010Q2,Apartment,31535.6,8.12,9.593
2010Q3,Apartment,28736.5,-8.88,9.817
2010Q4,Apartment,30102.7,4.75,7.409
2011Q1,Apartment,31150.9,3.48,7.428
2011Q2,Apartment,31395.8,0.79,6.168
2011Q3,Apartment,29650.3,-5.56,4.59
2011Q4,Apartment,28616.5,-3.49,4.087
2012Q1,Apartment,29009.5,1.37,3.353
2012Q2,Apartment,27997.7,-3.49,2.942
2012Q3,Apartment,26867.0,-4.04,2.535
2012Q4,Apartment,30015.4,11.72,7.303
2013Q1,Apartment,31310.5,4.31,7.447
2013Q2,Apartment,30753.1,-1.78,7.056
2013Q3,Apartment,29179.1,-5.12,7.404
2013Q4,Apartment,29983.9,2.76,4.304
2014Q1,Apartment,31151.6,3.89,4.168
2014Q2,Apartment,31196.1,0.14,4.012
2014Q3,Apartment,29702.0,-4.79,3.861
2014Q4,Apartment,31648.2,6.55,4.92
2015Q1,Apartment,31726.4,0.25,4.647
2015Q2,Apartment,32467.5,2.34,4.714
2015Q3,Apartment,31485.8,-3.02,4.008
2015Q4,Apartment,32037.5,1.75,2.4
2016Q1,Apartment,33637.9,5.0,3.339
2016Q2,Apartment,34539.3,2.68,3.371
2016Q3,Apartment,34075.0,-1.34,2.625
2016Q4,Apartment,33577.2,-1.46,3.17
2017Q3,Apartment,35067.8,4.44,2.953
2017Q4,Apartment,34468.7,-1.71,2.976
2018Q1,Apartment,35022.0,1.61,2.903
2018Q2,Apartment,36315.5,3.69,2.752
2018Q3,Apartment,35309.0,-2.77,2.98
2018Q4,Apartment,34837.1,-1.34,2.905
2019Q1,Apartment,33721.0,-3.2,3.165
2019Q2,Apartment,35179.1,4.32,3.471
2019Q3,Apartment,36408.5,3.49,3.661
2019Q4,Apartment,34621.5,-4.91,4.661
2020Q1,Apartment,36225.9,4.63,4.554
2020Q2,Apartment,36174.8,-0.14,4.297
2020Q3,Apartment,37432.5,3.48,4.295
2020Q4,Apartment,39799.9,6.32,2.736
2021Q1,Apartment,39897.3,0.24,3.035
2021Q2,Apartment,40360.4,1.16,2.714
2021Q3,Apartment,39723.6,-1.58,3.387
2021Q4,Apartment,39774.0,0.13,1.142
2022Q1,Apartment,37419.0,-5.92,3.123
2022Q2,Apartment,36421.0,-2.67,2.549
2022Q3,Apartment,34713.4,-4.69,2.643
2022Q4,Apartment,34251.8,-1.33,2.048
2023Q1,Apartment,33834.2,-1.22,1.616
2023Q2,Apartment,35473.2,4.84,3.968
2023Q3,Apartment,36006.1,1.5,2.906
2023Q4,Apartment,36658.5,1.81,2.479
2024Q1,Apartment,35016.8,-4.48,3.901
2024Q2,Apartment,36613.3,4.56,3.809
2024Q3,Apartment,35400.5,-3.31,4.266
2024Q4,Apartment,35965.8,1.6,4.231
1992Q1,Farm,9838.4,,
1992Q2,Farm,11474.6,16.63,
1992Q3,Farm,10378.4,-9.55,18.512
1992Q4,Farm,10129.2,-2.4,13.532
1993Q1,Farm,10493.4,3.6,11.096
1993Q2,Farm,9344.5,-10.95,6.75
1993Q3,Farm,10807.1,15.65,11.178
1993Q4,Farm,10220.1,-5.43,11.622
1994Q1,Farm,10124.0,-0.94,11.467
1994Q2,Farm,10152.8,0.28,9.175
1994Q3,Farm,10808.5,6.46,4.904
1994Q4,Farm,10693.4,-1.07,3.57
1995Q1,Farm,11521.1,7.74,4.393
1995Q2,Farm,10405.8,-9.68,8.031
1995Q3,Farm,10846.8,4.24,7.58
1995Q4,Farm,10524.7,-2.97,7.752
1996Q1,Farm,10552.0,0.26,5.887
1996Q2,Farm,11324.2,7.32,4.504
1996Q3,Farm,10360.3,-8.51,6.61
1996Q4,Farm,10948.7,5.68,7.134
1997Q1,Farm,10652.3,-2.71,7.412
1997Q2,Farm,11185.4,5.0,6.757
1997Q3,Farm,11644.0,4.1,3.873
1997Q4,Farm,10766.1,-7.54,5.935
1998Q1,Farm,12185.8,13.19,8.529
1998Q2,Farm,12252.1,0.54,8.592
1998Q3,Farm,12864.5,5.0,8.657
1998Q4,Farm,13310.2,3.46,5.42
1999Q1,Farm,12455.1,-6.42,5.06
1999Q2,Farm,12506.7,0.41,5.061
1999Q3,Farm,12574.1,0.54,4.189
1999Q4,Farm,11828.2,-5.93,3.845
2000Q1,Farm,13406.3,13.34,8.085
2000Q2,Farm,13158.5,-1.85,8.317
2000Q3,Farm,12871.5,-2.18,8.533
2000Q4,Farm,12600.5,-2.11,7.695
2001Q1,Farm,12395.2,-1.63,0.252
2001Q2,Farm,12462.6,0.54,1.28
2001Q3,Farm,14064.3,12.85,7.053
2001Q4,Farm,13360.2,-5.01,7.784
2002Q1,Farm,14206.0,6.33,7.67
2002Q2,Farm,13127.6,-7.59,9.61
2002Q3,Farm,12577.5,-4.19,6.137
2002Q4,Farm,13682.4,8.79,7.952
2003Q1,Farm,13782.6,0.73,7.111
2003Q2,Farm,13817.5,0.25,5.405
2003Q3,Farm,13032.9,-5.68,5.942
2003Q4,Farm,13513.4,3.69,3.925
2004Q1,Farm,12801.7,-5.27,4.525
2004Q2,Farm,12962.6,1.26,4.699
2004Q3,Farm,14448.6,11.46,6.911
2004Q4,Farm,12881.1,-10.85,9.583
2005Q1,Farm,14766.3,14.64,11.501
2005Q2,Farm,14139.2,-4.25,12.264
2005Q3,Farm,15240.8,7.79,11.509
2005Q4,Farm,15980.1,4.85,7.832
2006Q1,Farm,16323.3,2.15,5.135
2006Q2,Farm,15218.6,-6.77,6.287
2006Q3,Farm,16363.7,7.52,6.205
2006Q4,Farm,15299.2,-6.5,6.977
2007Q1,Farm,17037.0,11.36,9.413
2007Q2,Farm,16364.8,-3.95,8.673
2007Q3,Farm,19534.0,19.37,12.373
2007Q4,Farm,16457.2,-15.75,15.679
2008Q1,Farm,17951.3,9.08,15.299
2008Q2,Farm,17674.0,-1.54,15.022
2008Q3,Farm,17338.2,-1.9,10.181
2008Q4,Farm,16669.3,-3.86,5.846
2009Q1,Farm,17010.4,2.05,2.463
2009Q2,Farm,15218.3,-10.54,5.261
2009Q3,Farm,16163.6,6.21,7.288
2009Q4,Farm,13173.5,-18.5,11.375
2010Q1,Farm,13661.3,3.7,11.749
2010Q2,Farm,13818.5,1.15,11.284
2010Q3,Farm,15638.5,13.17,13.3
2010Q4,Farm,14258.9,-8.82,9.039
2011Q1,Farm,14035.5,-1.57,9.15
2011Q2,Farm,15495.8,10.4,10.303
2011Q3,Farm,14831.8,-4.29,8.211
2011Q4,Farm,13850.7,-6.61,7.564
2012Q1,Farm,13397.4,-3.27,7.69
2012Q2,Farm,13487.2,0.67,3.037
2012Q3,Farm,13777.5,2.15,3.958
2012Q4,Farm,14706.7,6.74,4.135
2013Q1,Farm,15382.4,4.59,2.678
2013Q2,Farm,13682.5,-11.05,7.995
2013Q3,Farm,13574.6,-0.79,7.941
2013Q4,Farm,14071.6,3.66,7.164
2014Q1,Farm,14803.8,5.2,7.324
2014Q2,Farm,14188.0,-4.16,4.264
2014Q3,Farm,13467.0,-5.08,5.276
2014Q4,Farm,13138.1,-2.44,4.676
2015Q1,Farm,14451.5,10.0,7.032
2015Q2,Farm,14504.4,0.37,6.579
2015Q3,Farm,13743.8,-5.24,6.627
2015Q4,Farm,13503.3,-1.75,6.527
2016Q1,Farm,13615.8,0.83,2.767
2016Q2,Farm,12854.4,-5.59,3.052
2016Q3,Farm,14136.6,9.97,6.618
2016Q4,Farm,14167.6,0.22,6.429
2017Q3,Farm,14458.2,2.05,6.425
2017Q4,Farm,13893.9,-3.9,5.816
2018Q1,Farm,14085.9,1.38,2.668
2018Q2,Farm,13816.6,-1.91,2.802
2018Q3,Farm,13487.3,-2.38,2.224
2018Q4,Farm,13809.5,2.39,2.371
2019Q1,Farm,14659.3,6.15,4.014
2019Q2,Farm,14510.0,-1.02,3.814
2019Q3,Farm,15217.2,4.87,3.158
2019Q4,Farm,14988.1,-1.51,3.951
2020Q1,Farm,16574.9,10.59,5.698
2020Q2,Farm,15966.6,-3.67,6.46
2020Q3,Farm,15240.6,-4.55,7.034
2020Q4,Farm,15571.2,2.17,6.973
2021Q1,Farm,16368.7,5.12,4.65
2021Q2,Farm,16265.8,-0.63,4.119
2021Q3,Farm,15710.4,-3.41,3.666
2021Q4,Farm,16720.2,6.43,4.672
2022Q1,Farm,15882.2,-5.01,5.058
2022Q2,Farm,15425.4,-2.88,5.178
2022Q3,Farm,16105.6,4.41,5.538
2022Q4,Farm,15579.7,-3.27,4.169
2023Q1,Farm,15993.0,2.65,3.884
2023Q2,Farm,14245.4,-10.93,6.925
2023Q3,Farm,14934.3,4.84,7.056
2023Q4,Farm,14587.4,-2.32,7.0
2024Q1,Farm,15031.6,3.04,7.078
2024Q2,Farm,14945.0,-0.58,3.275
2024Q3,Farm,15214.5,1.8,2.399
2024Q4,Farm,10938.8,-28.1,14.836
1992Q1,Summerhouse,10242.8,,
1992Q2,Summerhouse,10164.7,-0.76,
1992Q3,Summerhouse,9868.5,-2.91,1.52
1992Q4,Summerhouse,9545.7,-3.27,1.357
1993Q1,Summerhouse,9984.1,4.59,3.625
1993Q2,Summerhouse,9736.3,-2.48,3.752
1993Q3,Summerhouse,10082.6,3.56,4.047
1993Q4,Summerhouse,10251.6,1.68,3.12
1994Q1,Summerhouse,9932.8,-3.11,3.229
1994Q2,Summerhouse,9540.1,-3.95,3.649
1994Q3,Summerhouse,10053.4,5.38,4.36
1994Q4,Summerhouse,10118.0,0.64,4.257
1995Q1,Summerhouse,9433.5,-6.77,5.331
1995Q2,Summerhouse,10032.6,6.35,5.991
1995Q3,Summerhouse,10102.0,0.69,5.38
1995Q4,Summerhouse,9730.2,-3.68,5.694
1996Q1,Summerhouse,9733.2,0.03,4.142
1996Q2,Summerhouse,10241.6,5.22,3.651
1996Q3,Summerhouse,10171.2,-0.69,3.7
1996Q4,Summerhouse,11315.8,11.25,5.532
1997Q1,Summerhouse,11174.2,-1.25,5.861
1997Q2,Summerhouse,10601.4,-5.13,7.084
1997Q3,Summerhouse,10965.2,3.43,7.047
1997Q4,Summerhouse,11262.2,2.71,3.957
1998Q1,Summerhouse,11115.2,-1.31,3.963
1998Q2,Summerhouse,11360.0,2.2,2.106
1998Q3,Summerhouse,11680.6,2.82,1.962
1998Q4,Summerhouse,11295.1,-3.3,2.907
1999Q1,Summerhouse,11450.1,1.37,2.779
1999Q2,Summerhouse,11996.2,4.77,3.438
1999Q3,Summerhouse,12443.6,3.73,3.589
1999Q4,Summerhouse,12233.6,-1.69,2.868
2000Q1,Summerhouse,11888.1,-2.82,3.808
2000Q2,Summerhouse,12708.1,6.9,4.581
2000Q3,Summerhouse,12296.6,-3.24,4.787
2000Q4,Summerhouse,13863.1,12.74,7.795
2001Q1,Summerhouse,12688.5,-8.47,9.599
2001Q2,Summerhouse,12992.9,2.4,9.08
2001Q3,Summerhouse,13189.0,1.51,8.667
2001Q4,Summerhouse,14218.9,7.81,6.786
2002Q1,Summerhouse,13246.4,-6.84,6.052
2002Q2,Summerhouse,14146.9,6.8,6.703
2002Q3,Summerhouse,14131.2,-0.11,6.816
2002Q4,Summerhouse,13976.6,-1.09,5.593
2003Q1,Summerhouse,14083.3,0.76,3.555
2003Q2,Summerhouse,14617.9,3.8,2.113
2003Q3,Summerhouse,14701.2,0.57,2.037
2003Q4,Summerhouse,15124.4,2.88,1.591
2004Q1,Summerhouse,15784.3,4.36,1.67
2004Q2,Summerhouse,16821.3,6.57,2.523
2004Q3,Summerhouse,17161.9,2.02,1.992
2004Q4,Summerhouse,17995.1,4.85,1.877
2005Q1,Summerhouse,18697.9,3.91,1.897
2005Q2,Summerhouse,19860.7,6.22,1.763
2005Q3,Summerhouse,21496.0,8.23,1.876
2005Q4,Summerhouse,21737.2,1.12,3.06
2006Q1,Summerhouse,21326.6,-1.89,4.635
2006Q2,Summerhouse,22763.0,6.74,4.746
2006Q3,Summerhouse,22354.8,-1.79,4.045
2006Q4,Summerhouse,22895.7,2.42,4.105
2007Q1,Summerhouse,23547.6,2.85,3.488
2007Q2,Summerhouse,23936.1,1.65,2.108
2007Q3,Summerhouse,24363.1,1.78,0.562
2007Q4,Summerhouse,23282.3,-4.44,3.311
2008Q1,Summerhouse,22645.8,-2.73,3.139
2008Q2,Summerhouse,22933.8,1.27,3.039
2008Q3,Summerhouse,22755.7,-0.78,2.465
2008Q4,Summerhouse,20334.5,-10.64,5.209
2009Q1,Summerhouse,19430.5,-4.45,5.226
2009Q2,Summerhouse,19712.8,1.45,5.283
2009Q3,Summerhouse,19961.8,1.26,5.727
2009Q4,Summerhouse,19788.5,-0.87,2.741
2010Q1,Summerhouse,18600.3,-6.0,3.47
2010Q2,Summerhouse,19586.6,5.3,4.705
2010Q3,Summerhouse,19580.1,-0.03,4.626
2010Q4,Summerhouse,18497.8,-5.53,5.319
2011Q1,Summerhouse,18228.1,-1.46,4.475
2011Q2,Summerhouse,17705.1,-2.87,2.345
2011Q3,Summerhouse,17611.4,-0.53,2.179
2011Q4,Summerhouse,17442.0,-0.96,1.017
2012Q1,Summerhouse,16729.1,-4.09,1.665
2012Q2,Summerhouse,16440.2,-1.73,1.588
2012Q3,Summerhouse,17218.7,4.73,3.74
2012Q4,Summerhouse,16362.3,-4.97,4.382
2013Q1,Summerhouse,16297.1,-0.4,4.034
2013Q2,Summerhouse,17209.5,5.6,4.914
2013Q3,Summerhouse,16527.3,-3.96,4.776
2013Q4,Summerhouse,16066.6,-2.79,4.258
2014Q1,Summerhouse,16461.7,2.46,4.489
2014Q2,Summerhouse,16677.3,1.31,3.11
2014Q3,Summerhouse,16296.5,-2.28,2.603
2014Q4,Summerhouse,16228.4,-0.42,2.07
2015Q1,Summerhouse,16575.6,2.14,1.96
2015Q2,Summerhouse,17473.5,5.42,3.338
2015Q3,Summerhouse,17019.8,-2.6,3.452
2015Q4,Summerhouse,16214.0,-4.73,4.585
2016Q1,Summerhouse,16219.3,0.03,4.383
2016Q2,Summerhouse,17504.4,7.92,5.531
2016Q3,Summerhouse,17151.5,-2.02,5.441
2016Q4,Summerhouse,17365.1,1.25,4.3
2017Q3,Summerhouse,17424.9,0.34,4.261
2017Q4,Summerhouse,17082.4,-1.97,1.653
2018Q1,Summerhouse,17267.0,1.08,1.484
2018Q2,Summerhouse,18613.5,7.8,4.198
2018Q3,Summerhouse,17702.4,-4.89,5.44
2018Q4,Summerhouse,17630.0,-0.41,5.256
2019Q1,Summerhouse,17620.0,-0.06,5.274
2019Q2,Summerhouse,19673.3,11.65,7.069
2019Q3,Summerhouse,18591.7,-5.5,7.259
2019Q4,Summerhouse,18470.8,-0.65,7.28
2020Q1,Summerhouse,19103.9,3.43,7.262
2020Q2,Summerhouse,19389.6,1.5,3.843
2020Q3,Summerhouse,20039.4,3.35,1.924
2020Q4,Summerhouse,20185.7,0.73,1.351
2021Q1,Summerhouse,20664.2,2.37,1.129
2021Q2,Summerhouse,22875.5,10.7,4.41
2021Q3,Summerhouse,23436.3,2.45,4.495
2021Q4,Summerhouse,23391.0,-0.19,4.74
2022Q1,Summerhouse,22209.4,-5.05,6.593
2022Q2,Summerhouse,22731.4,2.35,3.513
2022Q3,Summerhouse,22563.3,-0.74,3.072
2022Q4,Summerhouse,21879.5,-3.03,3.177
2023Q1,Summerhouse,21712.0,-0.77,2.209
2023Q2,Summerhouse,22367.6,3.02,2.508
2023Q3,Summerhouse,22261.7,-0.47,2.498
2023Q4,Summerhouse,22260.9,-0.0,1.746
2024Q1,Summerhouse,22114.4,-0.66,1.721
2024Q2,Summerhouse,23150.6,4.69,2.548
2024Q3,Summerhouse,22670.3,-2.07,2.93
2024Q4,Summerhouse,21880.8,-3.48,3.571
1992Q1,Townhouse,12529.4,,
1992Q2,Townhouse,12237.1,-2.33,
1992Q3,Townhouse,10986.2,-10.22,5.579
1992Q4,Townhouse,12599.0,14.68,12.725
1993Q1,Townhouse,14351.4,13.91,12.309
1993Q2,Townhouse,11057.6,-22.95,18.573
1993Q3,Townhouse,12054.8,9.02,17.919
1993Q4,Townhouse,11577.2,-3.96,16.465
1994Q1,Townhouse,11420.2,-1.36,13.329
1994Q2,Townhouse,11879.7,4.02,5.778
1994Q3,Townhouse,12173.0,2.47,3.626
1994Q4,Townhouse,20156.5,65.58,32.015
1995Q1,Townhouse,11442.4,-43.23,44.661
1995Q2,Townhouse,11583.7,1.23,44.749
1995Q3,Townhouse,14054.0,21.33,45.173
1995Q4,Townhouse,12482.6,-11.18,27.06
1996Q1,Townhouse,12857.2,3.0,13.401
1996Q2,Townhouse,12474.6,-2.98,13.808
1996Q3,Townhouse,13253.1,6.24,7.654
1996Q4,Townhouse,13285.2,0.24,3.929
1997Q1,Townhouse,12885.8,-3.01,4.354
1997Q2,Townhouse,14603.5,13.33,7.192
1997Q3,Townhouse,14543.7,-0.41,7.331
1997Q4,Townhouse,14594.0,0.35,7.319
1998Q1,Townhouse,17269.5,18.33,9.387
1998Q2,Townhouse,15670.1,-9.26,11.572
1998Q3,Townhouse,18782.5,19.86,14.165
1998Q4,Townhouse,17808.1,-5.19,15.299
1999Q1,Townhouse,15700.6,-11.83,14.569
1999Q2,Townhouse,18294.8,16.52,15.711
1999Q3,Townhouse,16640.0,-9.05,12.896
1999Q4,Townhouse,18501.7,11.19,14.24
2000Q1,Townhouse,16703.8,-9.72,13.596
2000Q2,Townhouse,16236.2,-2.8,9.704
2000Q3,Townhouse,16275.9,0.24,8.704
2000Q4,Townhouse,16131.9,-0.88,4.467
2001Q1,Townhouse,15847.4,-1.76,1.292
2001Q2,Townhouse,18634.5,17.59,9.231
2001Q3,Townhouse,16752.1,-10.1,11.682
2001Q4,Townhouse,19342.9,15.47,13.435
2002Q1,Townhouse,18229.4,-5.76,14.259
2002Q2,Townhouse,18370.2,0.77,11.181
2002Q3,Townhouse,20049.9,9.14,9.317
2002Q4,Townhouse,17970.9,-10.37,8.469
2003Q1,Townhouse,16959.0,-5.63,8.448
2003Q2,Townhouse,19101.0,12.63,11.165
2003Q3,Townhouse,28107.5,47.15,26.094
2003Q4,Townhouse,25687.3,-8.61,25.625
2004Q1,Townhouse,21116.4,-17.79,28.837
2004Q2,Townhouse,24396.6,15.53,29.016
2004Q3,Townhouse,21907.1,-10.2,14.432
2004Q4,Townhouse,23888.4,9.04,15.711
2005Q1,Townhouse,26037.2,9.0,11.127
2005Q2,Townhouse,21328.5,-18.08,13.753
2005Q3,Townhouse,21264.9,-0.3,12.776
2005Q4,Townhouse,22704.5,6.77,12.276
2006Q1,Townhouse,23172.8,2.06,10.867
2006Q2,Townhouse,25854.5,11.57,5.261
2006Q3,Townhouse,25053.7,-3.1,6.291
2006Q4,Townhouse,28591.7,14.12,8.066
2007Q1,Townhouse,25459.8,-10.95,11.957
2007Q2,Townhouse,27555.2,8.23,11.246
2007Q3,Townhouse,24721.1,-10.29,12.814
2007Q4,Townhouse,24268.9,-1.83,8.978
2008Q1,Townhouse,24835.3,2.33,7.784
2008Q2,Townhouse,23760.3,-4.33,5.278
2008Q3,Townhouse,23239.5,-2.19,2.785
2008Q4,Townhouse,21232.7,-8.64,4.563
2009Q1,Townhouse,21503.1,1.27,4.146
2009Q2,Townhouse,20799.8,-3.27,4.107
2009Q3,Townhouse,21255.6,2.19,4.963
2009Q4,Townhouse,21257.0,0.01,2.387
2010Q1,Townhouse,24869.8,17.0,8.964
2010Q2,Townhouse,21470.8,-13.67,12.557
2010Q3,Townhouse,23058.8,7.4,12.933
2010Q4,Townhouse,23136.7,0.34,12.911
2011Q1,Townhouse,19959.1,-13.73,10.546
2011Q2,Townhouse,21771.0,9.08,10.383
2011Q3,Townhouse,23935.6,9.94,10.984
2011Q4,Townhouse,20039.6,-16.28,14.196
2012Q1,Townhouse,20718.8,3.39,12.225
2012Q2,Townhouse,21566.0,4.09,11.427
2012Q3,Townhouse,21467.1,-0.46,9.522
2012Q4,Townhouse,21572.6,0.49,2.204
2013Q1,Townhouse,20188.6,-6.42,4.362
2013Q2,Townhouse,24314.5,20.44,11.692
2013Q3,Townhouse,20864.5,-14.19,14.839
2013Q4,Townhouse,22134.1,6.09,15.151
2014Q1,Townhouse,22216.6,0.37,14.329
2014Q2,Townhouse,22254.0,0.17,8.647
2014Q3,Townhouse,21810.5,-1.99,3.456
2014Q4,Townhouse,22000.1,0.87,1.265
2015Q1,Townhouse,23000.9,4.55,2.721
2015Q2,Townhouse,23809.9,3.52,2.929
2015Q3,Townhouse,24631.4,3.45,1.568
2015Q4,Townhouse,23587.2,-4.24,4.071
2016Q1,Townhouse,24768.6,5.01,4.179
2016Q2,Townhouse,24910.1,0.57,4.065
2016Q3,Townhouse,23662.7,-5.01,4.66
2016Q4,Townhouse,23282.9,-1.61,4.197
2017Q3,Townhouse,25770.0,10.68,6.751
2017Q4,Townhouse,24450.8,-5.12,7.476
2018Q1,Townhouse,24865.6,1.7,6.777
2018Q2,Townhouse,25484.0,2.49,6.47
2018Q3,Townhouse,26018.9,2.1,3.623
2018Q4,Townhouse,24382.6,-6.29,4.206
2019Q1,Townhouse,25504.8,4.6,4.804
2019Q2,Townhouse,24493.9,-3.96,5.088
2019Q3,Townhouse,26671.7,8.89,7.137
2019Q4,Townhouse,25750.1,-3.46,6.288
2020Q1,Townhouse,25658.8,-0.35,5.958
2020Q2,Townhouse,24957.9,-2.73,5.692
2020Q3,Townhouse,26767.5,7.25,4.898
2020Q4,Townhouse,29178.8,9.01,5.712
2021Q1,Townhouse,28203.5,-3.34,6.491
2021Q2,Townhouse,28495.8,1.04,5.694
2021Q3,Townhouse,27217.6,-4.49,6.12
2021Q4,Townhouse,28734.7,5.57,4.584
2022Q1,Townhouse,26325.0,-8.39,6.133
2022Q2,Townhouse,26570.6,0.93,6.117
2022Q3,Townhouse,24154.2,-9.09,7.183
2022Q4,Townhouse,24249.1,0.39,5.439
2023Q1,Townhouse,23994.4,-1.05,4.665
2023Q2,Townhouse,24930.4,3.9,5.494
2023Q3,Townhouse,24702.3,-0.91,2.305
2023Q4,Townhouse,25343.8,2.6,2.5
2024Q1,Townhouse,24310.2,-4.08,3.6
2024Q2,Townhouse,24980.6,2.76,3.257
2024Q3,Townhouse,23536.2,-5.78,4.449
2024Q4,Townhouse,18715.9,-20.48,9.78
1992Q1,Villa,8482.3,,
1992Q2,Villa,8530.8,0.57,
1992Q3,Villa,8402.2,-1.51,1.471
1992Q4,Villa,8334.5,-0.81,1.058
1993Q1,Villa,8245.9,-1.06,0.896
1993Q2,Villa,8351.5,1.28,1.238
1993Q3,Villa,8848.8,5.96,3.252
1993Q4,Villa,8797.0,-0.59,3.205
1994Q1,Villa,8689.7,-1.22,3.247
1994Q2,Villa,8962.5,3.14,3.363
1994Q3,Villa,8945.8,-0.19,1.95
1994Q4,Villa,8960.6,0.17,1.872
1995Q1,Villa,9022.5,0.69,1.502
1995Q2,Villa,9004.7,-0.2,0.419
1995Q3,Villa,9063.6,0.65,0.424
1995Q4,Villa,9349.4,3.15,1.445
1996Q1,Villa,9127.1,-2.38,2.286
1996Q2,Villa,9689.2,6.16,3.633
1996Q3,Villa,9767.0,0.8,3.616
1996Q4,Villa,9836.8,0.71,3.548
1997Q1,Villa,9864.6,0.28,2.791
1997Q2,Villa,10340.8,4.83,2.129
1997Q3,Villa,10410.9,0.68,2.146
1997Q4,Villa,10524.2,1.09,2.1
1998Q1,Villa,10593.9,0.66,2.02
1998Q2,Villa,10877.9,2.68,0.956
1998Q3,Villa,10650.8,-2.09,1.984
1998Q4,Villa,11081.2,4.04,2.665
1999Q1,Villa,11053.3,-0.25,2.777
1999Q2,Villa,11414.3,3.27,2.902
1999Q3,Villa,11480.1,0.58,2.067
1999Q4,Villa,11326.3,-1.34,1.967
2000Q1,Villa,11480.7,1.36,1.909
2000Q2,Villa,11664.7,1.6,1.333
2000Q3,Villa,11692.5,0.24,1.341
2000Q4,Villa,11951.5,2.22,0.827
2001Q1,Villa,11975.8,0.2,1.008
2001Q2,Villa,12140.6,1.38,0.975
2001Q3,Villa,11944.8,-1.61,1.66
2001Q4,Villa,11816.1,-1.08,1.341
2002Q1,Villa,11940.6,1.05,1.5
2002Q2,Villa,11937.8,-0.02,1.179
